location_id,city,state,country,latitude,longitude
53,jefferson,oh,us,41.7386111,-80.77
54,springfield,va,us,38.7891667,-77.1875
55,plymouth,mi,us,42.3713889,-83.4702778
56,hollywood,ca,us,34.0983333,-118.3258333
57,albany,ny,us,42.6525,-73.7566667
58,minneapolis,mn,us,44.98,-93.2636111
59,norwalk,ct,us,41.1175,-73.4083333
60,glenrock,wy,us,42.8613889,-105.8716667
61,shirleysburg,pa,us,40.2977778,-77.8744444
62,ocean isle beach,nc,us,33.8941667,-78.4269444
63,warren,mi,us,42.4775,-83.0277778
64,drexel,oh,us,39.7463889,-84.2866667
65,denton,tx,us,33.2147222,-97.1327778
66,carlin,nv,us,40.7138889,-116.1030556
67,strasburg,va,us,38.9886111,-78.3588889
68,manchester,tn,us,35.4816667,-86.0886111
69,bar harbor,me,us,44.3875,-68.2044444
70,lomita,ca,us,33.7922222,-118.3141667
71,la jolla,ca,us,32.8472222,-117.2733333
72,logan,ut,us,41.7355556,-111.8336111
73,rockwell city,ia,us,42.3952778,-94.6336111
74,mahwah,nj,us,41.0886111,-74.1441667
75,west chester,oh,us,39.0875,-81.9227778
76,holton,mi,us,43.4133333,-86.0794444
77,wheeling,wv,us,40.0638889,-80.7211111
78,carlton,or,us,45.2944444,-123.1752778
79,pinckney,mi,us,42.4566667,-83.9463889
80,long beach,ca,us,33.7669444,-118.1883333
81,groton,ct,us,41.35,-72.0788889
82,ashville,ny,us,42.0963889,-79.3758333
83,pawtucket,ri,us,41.8786111,-71.3830556
84,hawthorne,ca,us,33.9163889,-118.3516667
85,leavenworth,wa,us,47.5963889,-120.6602778
86,chaffee,ny,us,42.5680556,-78.4791667
87,austin,tx,us,30.2669444,-97.7427778
88,frederick,co,us,40.0991667,-104.9366667
89,euclid,oh,us,41.5930556,-81.5269444
90,rochester,wa,us,46.8219444,-123.095
91,arbutus,md,us,39.2544444,-76.7002778
92,orland park,il,us,41.6302778,-87.8538889
93,nashville,tn,us,36.1658333,-86.7844444
94,monroe county,oh,us,39.4402778,-84.3622222
95,sarasota,fl,us,27.3361111,-82.5308333
96,east wenatchee,wa,us,47.4158333,-120.2919444
97,brighton,mi,us,42.5294444,-83.7802778
98,fleming,co,us,40.68,-102.8388889
99,st. paul,or,us,45.2113889,-122.9755556
100,colorado springs,co,us,38.8338889,-104.8208333
101,hartsel,co,us,39.0216667,-105.7952778
102,hayward,ca,us,37.6688889,-122.0797222
103,morgantown,wv,us,39.6294444,-79.9561111
104,hillside,il,us,41.8777778,-87.9027778
105,lacey,wa,us,47.0344444,-122.8219444
106,milwaukee,wi,us,43.0388889,-87.9063889
107,circleville,oh,us,39.6005556,-82.9461111
108,spokane,wa,us,47.6588889,-117.425
109,wilmington,ca,us,33.78,-118.2616667
110,lexington,nc,us,35.8238889,-80.2536111
111,peoria,il,us,40.6936111,-89.5888889
112,duluth,mn,us,46.7833333,-92.1063889
113,marysville,wa,us,48.0519444,-122.1758333
114,miami,ok,us,36.8744444,-94.8772222
115,jackson,nj,us,39.7763889,-74.8627778
116,maryville,tn,us,35.7563889,-83.9705556
117,fayetteville,ny,us,43.0297222,-76.0047222
118,greene,me,us,44.1897222,-70.1408333
119,boston,ma,us,42.3583333,-71.0602778
120,la crescenta,ca,us,34.2241667,-118.2391667
121,kansas city,ks,us,39.1141667,-94.6272222
122,white plains,ny,us,41.0338889,-73.7633333
123,columbus,oh,us,39.9611111,-82.9988889
124,alsip,il,us,41.6688889,-87.7386111
125,springboro,oh,us,39.5522222,-84.2333333
126,three rivers,mi,us,41.9438889,-85.6325
127,jackson,tn,us,35.6144444,-88.8138889
128,virginia beach,va,us,36.8527778,-75.9783333
129,liberty hill,tx,us,30.6647222,-97.9222222
130,dyersburg,tn,us,36.0344444,-89.3855556
131,north smithfield,ri,us,41.9666667,-71.55
132,whitesburg,tn,us,36.2716667,-83.14
133,slingerlands,ny,us,42.6291667,-73.865
134,bray,ok,us,34.6377778,-97.8172222
135,acton,me,us,43.5341667,-70.9102778
136,coldwater,oh,us,40.4797222,-84.6283333
137,scottsdale,az,us,33.5091667,-111.8983333
138,tinley park,il,us,41.5733333,-87.7844444
139,ayer,ma,us,42.5611111,-71.5902778
140,tarboro,nc,us,35.8966667,-77.5361111
141,buffalo,ny,us,42.8863889,-78.8786111
142,memphis,tn,us,35.1494444,-90.0488889
143,san francisco,ca,us,37.775,-122.4183333
144,beaver,oh,us,39.0305556,-82.8244444
145,starr,sc,us,34.3769444,-82.6958333
146,cedar city,ut,us,37.6775,-113.0611111
147,clackamas,or,us,45.4077778,-122.5691667
148,fairfield,ct,us,41.1411111,-73.2641667
149,san diego,ca,us,32.7152778,-117.1563889
150,castro valley,ca,us,37.6941667,-122.0852778
151,sauk centre,mn,us,45.7375,-94.9522222
152,mobile,al,us,30.6941667,-88.0430556
153,roseville,ca,us,38.7522222,-121.2869444
154,pinellas park,fl,us,27.8425,-82.6997222
155,hiawassee,ga,us,34.9491667,-83.7575
156,waynesville,oh,us,39.5297222,-84.0866667
157,cuyahoga falls,oh,us,41.1338889,-81.4847222
158,athol,id,us,47.9480556,-116.7069444
159,san jose,ca,us,37.3394444,-121.8938889
160,las vegas,nv,us,36.175,-115.1363889
161,lyndhurst,oh,us,41.52,-81.4888889
162,marion,il,us,37.7305556,-88.9330556
163,irvine,ca,us,33.6694444,-117.8222222
164,bel air,md,us,39.5358333,-76.3486111
165,paris,tx,us,33.6608333,-95.5552778
166,greenup,ky,us,38.5730556,-82.8302778
167,rising sun,md,us,39.6977778,-76.0630556
168,hinsdale,il,us,41.8008333,-87.9369444
169,chandler,az,us,33.3061111,-111.8405556
170,pontiac,mi,us,42.6388889,-83.2911111
171,forty fort,pa,us,41.2788889,-75.8786111
172,hendersonville,nc,us,35.3186111,-82.4611111
173,eagar,az,us,34.1111111,-109.2908333
174,cranbury,nj,us,40.3161111,-74.5141667
175,canton,mi,us,42.3086111,-83.4822222
176,naples,fl,us,26.1416667,-81.795
177,renton,wa,us,47.4830556,-122.2158333
178,pearlington,ms,us,30.2463889,-89.6111111
179,central lake,mi,us,45.07,-85.2644444
180,weldon,nc,us,36.4269444,-77.5958333
181,pawnee,ok,us,36.3377778,-96.8036111
182,martinez,ca,us,38.0194444,-122.1330556
183,francesville,in,us,40.9852778,-86.8794444
184,lakewood,oh,us,41.4819444,-81.7983333
185,ewa beach,hi,us,21.3155556,-158.0072222
186,paterson,nj,us,40.9166667,-74.1722222
187,glendale,az,us,33.5386111,-112.1852778
188,lanagan,mo,us,36.6080556,-94.4475
189,eureka springs,ar,us,36.4011111,-93.7377778
190,moundville,al,us,32.9975,-87.63
191,alpine,az,us,33.8480556,-109.1425
192,bristol,tn,us,36.595,-82.1888889
193,seattle,wa,us,47.6063889,-122.3308333
194,bossier city,la,us,32.5158333,-93.7319444
195,buckeye,az,us,33.3702778,-112.5830556
196,delray beach,fl,us,26.4611111,-80.0730556
197,st. louis,mo,us,38.6272222,-90.1977778
198,mccomb,ms,us,31.2436111,-90.4530556
199,swartz creek,mi,us,42.9572222,-83.8305556
200,fresno,ca,us,36.7477778,-119.7713889
201,toledo,oh,us,41.6638889,-83.5552778
202,arlington,wa,us,48.1988889,-122.1238889
203,capitola,ca,us,36.9752778,-121.9522222
204,palm harbor,fl,us,28.0777778,-82.7638889
205,essex junction,vt,us,44.4905556,-73.1113889
206,bonham,tx,us,33.5772222,-96.1780556
207,north canton,oh,us,40.8758333,-81.4025
208,lynnwood,wa,us,47.8211111,-122.3138889
209,nicholasville,ky,us,37.8805556,-84.5730556
210,burnt hills,ny,us,42.9097222,-73.8955556
211,onion creek,wa,us,48.7838889,-117.8105556
212,fort morgan,co,us,40.2502778,-103.7994444
213,jensen beach,fl,us,27.2541667,-80.23
214,wolfforth,tx,us,33.5058333,-102.0086111
215,courtland,va,us,36.7161111,-77.0683333
216,everson,wa,us,48.9202778,-122.3413889
217,russellton,pa,us,40.6113889,-79.8372222
218,breckenridge,tx,us,32.7555556,-98.9019444
219,fort washington,pa,us,40.1416667,-75.2094444
220,conway,ar,us,35.0886111,-92.4419444
221,waco,tx,us,31.5491667,-97.1463889
222,kykotsmovi,az,us,35.8752778,-110.6197222
223,boca raton,fl,us,26.3583333,-80.0833333
224,bristol,ct,us,41.6716667,-72.9497222
225,mckinney,tx,us,33.1975,-96.615
226,little ferry,nj,us,40.8527778,-74.0425
227,suffern,ny,us,41.1147222,-74.15
228,posen,il,us,41.6316667,-87.6813889
229,harrodsburg,ky,us,37.7622222,-84.8433333
230,traverse city,mi,us,44.7630556,-85.6205556
231,casa grande,az,us,32.8794444,-111.7566667
232,brevard,nc,us,35.2333333,-82.7344444
233,wellington,fl,us,26.6583333,-80.2416667
234,crisfield,md,us,37.9833333,-75.8541667
235,pampa,tx,us,35.5361111,-100.9594444
236,sidney,mi,us,43.25,-85.1330556
237,goshen,ca,us,36.3511111,-119.4191667
238,del mar,ca,us,32.9594444,-117.2644444
239,chicopee,ma,us,42.1486111,-72.6083333
240,novi,mi,us,42.4805556,-83.4755556
241,sterling heights,mi,us,42.5802778,-83.0302778
242,port hadlock,wa,us,48.0319444,-122.7569444
243,ballinger,tx,us,31.7380556,-99.9469444
244,tryon,nc,us,35.2080556,-82.2386111
245,centerville,tx,us,31.2577778,-95.9780556
246,honolulu,hi,us,21.3069444,-157.8583333
247,melbourne,fl,us,28.0833333,-80.6083333
248,springfield,mo,us,37.2152778,-93.2980556
249,laredo,tx,us,27.5061111,-99.5072222
250,lynchburg,va,us,37.4136111,-79.1425
251,cripple creek,co,us,38.7466667,-105.1777778
252,bayfield,co,us,37.2255556,-107.5975
253,glorieta,nm,us,35.5830556,-105.7694444
254,jacksonville,fl,us,30.3319444,-81.6558333
255,fountain valley,ca,us,33.7091667,-117.9527778
256,franklin,oh,us,39.5588889,-84.3041667
257,starrsville,ga,us,33.5394444,-83.8194444
258,grove city,pa,us,41.1577778,-80.0888889
259,sanford,fl,us,28.8002778,-81.2733333
260,orlando,fl,us,28.5380556,-81.3794444
261,louisville,ky,us,38.2541667,-85.7594444
262,sturgis,mi,us,41.7991667,-85.4191667
263,oklahoma city,ok,us,35.4675,-97.5161111
264,faribault,mn,us,44.295,-93.2686111
265,lafayette,ga,us,34.7047222,-85.2819444
266,merrick,ny,us,40.6627778,-73.5519444
267,klamath falls,or,us,42.225,-121.7805556
268,menands,ny,us,42.6919444,-73.725
269,newport,nh,us,43.3652778,-72.1738889
270,nisqually,wa,us,47.0566667,-122.7
271,pitman,nj,us,39.7327778,-75.1319444
272,edmonds,wa,us,47.8108333,-122.3761111
273,weirton,wv,us,40.4188889,-80.5897222
274,whittier,ca,us,33.9791667,-118.0319444
275,silver city,nm,us,32.77,-108.2797222
276,biloxi,ms,us,30.3958333,-88.8852778
277,farmington,mo,us,37.7808333,-90.4216667
278,miami,fl,us,25.7738889,-80.1938889
279,longwood,fl,us,28.7027778,-81.3386111
280,flatwoods,wv,us,38.7230556,-80.65
281,rancho mirage,ca,us,33.7397222,-116.4119444
282,kewanee,il,us,41.2455556,-89.9247222
283,roseburg,or,us,43.2166667,-123.3405556
284,tacoma,wa,us,47.2530556,-122.4430556
285,phoenix,az,us,33.4483333,-112.0733333
286,lake worth,fl,us,26.6155556,-80.0572222
287,belmont,ca,us,37.5202778,-122.2747222
288,chicago,il,us,41.85,-87.65
289,yuma,az,us,32.7252778,-114.6236111
290,two harbors,mn,us,47.0227778,-91.6705556
291,bellmore,ny,us,40.6686111,-73.5275
292,middle island,ny,us,40.8841667,-72.9377778
293,salisbury,nc,us,35.6708333,-80.4744444
294,grants,nm,us,35.1472222,-107.8508333
295,spotsylvania,va,us,38.2008333,-77.5894444
296,lincoln,ne,us,40.8,-96.6666667
297,orangevale,ca,us,38.6786111,-121.2247222
298,waxahachie,tx,us,32.3863889,-96.8480556
299,webster,ny,us,43.2122222,-77.4302778
300,middletown,ct,us,41.5622222,-72.6511111
301,elk grove,ca,us,38.4088889,-121.3705556
302,grand view,id,us,42.9897222,-116.0925
303,elmont,ny,us,40.7008333,-73.7133333
304,tulsa,ok,us,36.1538889,-95.9925
305,nelchina,ak,us,61.9919444,-146.7686111
306,frisco,nc,us,35.235,-75.6288889
307,rose lake,id,us,47.5388889,-116.4708333
308,riverton,ut,us,40.5219444,-111.9383333
309,belmont,vt,us,43.4155556,-72.8227778
310,kent,wa,us,47.3811111,-122.2336111
311,houghton lake,mi,us,44.3147222,-84.7647222
312,west palm beach,fl,us,26.7052778,-80.0366667
313,salem,or,us,44.9430556,-123.0338889
314,rogers,ar,us,36.3319444,-94.1183333
315,hixson,tn,us,35.1405556,-85.2327778
316,holiday,fl,us,28.1875,-82.7397222
317,potwin,ks,us,37.9388889,-97.0194444
318,holden beach,nc,us,33.9133333,-78.3041667
319,waynesboro,va,us,38.0683333,-78.8897222
320,albany,or,us,44.6366667,-123.1047222
321,algona,ia,us,43.07,-94.2327778
322,dresser,wi,us,45.3561111,-92.6333333
323,wide ruins,az,us,35.4194444,-109.4958333
324,yakima,wa,us,46.6022222,-120.5047222
325,fremont,ca,us,37.5483333,-121.9875
326,larksville,pa,us,41.245,-75.9311111
327,fayetteville,nc,us,35.0525,-78.8786111
328,berkeley,ca,us,37.8716667,-122.2716667
329,mission,tx,us,26.2155556,-98.325
330,brownsville,tx,us,25.9013889,-97.4972222
331,southwest ranches,fl,us,26.0583333,-80.3375
332,tomball,tx,us,30.0969444,-95.6158333
333,huntington,wv,us,38.4191667,-82.4452778
334,anaheim,ca,us,33.8352778,-117.9136111
335,melbourne,ky,us,39.0297222,-84.3663889
336,whitefield,ok,us,35.2525,-95.2372222
337,middleton,wi,us,43.0972222,-89.5041667
338,mountain city,tn,us,36.4744444,-81.805
339,millington,tn,us,35.3413889,-89.8972222
340,fall city,wa,us,47.5675,-121.8875
341,summerville,sc,us,33.0183333,-80.1758333
342,granville,oh,us,40.0680556,-82.5197222
343,hudson,ma,us,42.3916667,-71.5666667
344,santa barbara,ca,us,34.4208333,-119.6972222
345,tenino,wa,us,46.8569444,-122.8516667
346,calabasas,ca,us,34.1577778,-118.6375
347,deer park,ny,us,40.7616667,-73.3297222
348,palominas,az,us,31.3797222,-110.1177778
349,columbia,ms,us,31.2516667,-89.8375
350,schenectady,ny,us,42.8141667,-73.94
351,dayton,oh,us,39.7588889,-84.1916667
352,cambridge,ny,us,43.0280556,-73.3816667
353,washougal,wa,us,45.5827778,-122.3522222
354,kennewick,wa,us,46.2113889,-119.1361111
355,oakland,ca,us,37.8044444,-122.2697222
356,milton,fl,us,30.6322222,-87.0397222
357,prineville,or,us,44.3,-120.8333333
358,lombard,il,us,41.88,-88.0077778
359,ottumwa,ia,us,41.0041667,-92.3736111
360,fairbanks,ak,us,64.8377778,-147.7163889
361,carmichael,ca,us,38.6172222,-121.3272222
362,watchung,nj,us,40.6377778,-74.4513889
363,orchards,wa,us,45.6666667,-122.5597222
364,port townsend,wa,us,48.1172222,-122.7591667
365,truckee,ca,us,39.3280556,-120.1822222
366,mt. pleasant,sc,us,32.7938889,-79.8627778
367,clinton,ms,us,32.3413889,-90.3216667
368,angola,in,us,41.6347222,-84.9994444
369,northglenn,co,us,39.8855556,-104.9866667
370,bentonville,ar,us,36.3727778,-94.2086111
371,sunnyvale,ca,us,37.3688889,-122.0352778
372,wheaton,md,us,39.0397222,-77.0555556
373,sunfield,mi,us,42.7622222,-84.9925
374,knoxville,tn,us,35.9605556,-83.9208333
375,gleason,wi,us,45.3088889,-89.4963889
376,eugene,or,us,44.0522222,-123.0855556
377,murray,ut,us,40.6669444,-111.8872222
378,hudson,ks,us,38.1055556,-98.6597222
379,germantown,md,us,39.1730556,-77.2719444
380,cottage grove,mn,us,44.8277778,-92.9436111
381,laurelville,oh,us,39.4733333,-82.7394444
382,oak forest,il,us,41.6027778,-87.7438889
383,kansas city,mo,us,39.0997222,-94.5783333
384,dallas,tx,us,32.7833333,-96.8
385,port hueneme,ca,us,34.1477778,-119.1941667
386,chatsworth,ca,us,34.2572222,-118.6002778
387,thonotosassa,fl,us,28.0611111,-82.3025
388,mechanicsville,va,us,37.6086111,-77.3736111
389,enid,ok,us,36.3955556,-97.8780556
390,mccoy,co,us,39.9161111,-106.725
391,providence,ri,us,41.8238889,-71.4133333
392,monticello,ky,us,36.8297222,-84.8491667
393,mooresville,nc,us,35.5847222,-80.8102778
394,dublin,ga,us,32.5402778,-82.9038889
395,anamosa,ia,us,42.1083333,-91.285
396,evansville,in,us,37.9747222,-87.5558333
397,michigan city,in,us,41.7075,-86.895
398,auburn,pa,us,40.5983333,-76.0936111
399,gilbert,az,us,33.3527778,-111.7883333
400,hartville,oh,us,40.9636111,-81.3313889
401,crestwood,il,us,41.6611111,-87.7525
402,franklin,nh,us,43.4441667,-71.6477778
403,utica,ny,us,43.1008333,-75.2330556
404,north platte,ne,us,41.1238889,-100.765
405,shapleigh,me,us,43.5405556,-70.8486111
406,white lake,mi,us,42.6916667,-83.5541667
407,miamisburg,oh,us,39.6427778,-84.2866667
408,fontana,ca,us,34.0922222,-117.4341667
409,pueblo,co,us,38.2544444,-104.6086111
410,sterling,il,us,41.7886111,-89.6961111
411,clarinda,ia,us,40.7419444,-95.0380556
412,west houston,tx,us,29.7630556,-95.3630556
413,jones beach,ny,us,42.9047222,-76.3944444
414,daphne,al,us,30.6033333,-87.9036111
415,belfair,wa,us,47.4508333,-122.8261111
416,zortman,mt,us,47.9177778,-108.5255556
417,hartland,mi,us,42.6566667,-83.7530556
418,seymour,tn,us,35.8905556,-83.7247222
419,fairport,ny,us,43.0986111,-77.4422222
420,west bloomfield,mi,us,42.5377778,-83.2330556
421,apache junction,az,us,33.415,-111.5488889
422,ashland,or,us,42.1947222,-122.7083333
423,farmland,in,us,40.1877778,-85.1275
424,delano,tn,us,35.265,-84.5533333
425,eureka,ca,us,40.8022222,-124.1625
426,plainfield,il,us,41.6269444,-88.2038889
427,dallas,or,us,44.9194444,-123.3158333
428,jersey city,nj,us,40.7280556,-74.0780556
429,rocklin,ca,us,38.7908333,-121.2347222
430,irving,tx,us,32.8138889,-96.9486111
431,vero beach,fl,us,27.6383333,-80.3975
432,pikeville,ky,us,37.4791667,-82.5188889
433,pasadena,ca,us,34.1477778,-118.1436111
434,delaware,oh,us,40.2986111,-83.0680556
435,big rock,tn,us,36.5805556,-87.76
436,hillsdale,mi,us,41.92,-84.6305556
437,bessemer,pa,us,40.9747222,-80.4938889
438,clarkston,mi,us,42.7358333,-83.4188889
439,centralia,wa,us,46.7163889,-122.9530556
440,greenville,il,us,38.8922222,-89.4130556
441,covington,ga,us,33.5966667,-83.8602778
442,henderson,nv,us,36.0397222,-114.9811111
443,winnemucca,nv,us,40.9730556,-117.7347222
444,sneedville,tn,us,36.5297222,-83.2175
445,arlington,tx,us,32.7355556,-97.1077778
446,rosamond,ca,us,34.8641667,-118.1625
447,monroe,nc,us,34.9852778,-80.5497222
448,humphrey,ne,us,41.6916667,-97.4841667
449,windsor,ct,us,41.8525,-72.6441667
450,marlton,nj,us,39.8911111,-74.9222222
451,safford,az,us,32.8338889,-109.7069444
452,arcadia,fl,us,27.2155556,-81.8586111
453,tinton falls,nj,us,40.3041667,-74.1008333
454,wall lake,ia,us,42.2711111,-95.0927778
455,valley city,oh,us,41.2377778,-81.9316667
456,ripley,ny,us,42.2669444,-79.7108333
457,cabin creek,wv,us,38.1958333,-81.4777778
458,jones,mi,us,41.9025,-85.7994444
459,bourbonnais,il,us,41.1416667,-87.875
460,st. louis county,mo,us,38.6272222,-90.1977778
461,pinebergen,ar,us,34.1027778,-91.9922222
462,prescott,az,us,34.54,-112.4677778
463,st. george,ut,us,37.1041667,-113.5833333
464,florence,ky,us,38.9988889,-84.6266667
465,conyers,ga,us,33.6675,-84.0177778
466,fredericksburg,pa,us,40.4436111,-76.4286111
467,rockville,md,us,39.0838889,-77.1530556
468,anchorage,ak,us,61.2180556,-149.9002778
469,north judson,in,us,41.215,-86.7758333
470,independence,mo,us,39.0911111,-94.4152778
471,sioux falls,sd,us,43.55,-96.7
472,cincinnati,oh,us,39.1619444,-84.4569444
473,north charleston,sc,us,32.8544444,-79.975
474,lynden,wa,us,48.9466667,-122.4508333
475,newaygo,mi,us,43.4197222,-85.8
476,windsor,nc,us,35.9983333,-76.9463889
477,litchfield,il,us,39.1752778,-89.6541667
478,bakersfield,ca,us,35.3733333,-119.0177778
479,seekonk,ma,us,41.8083333,-71.3375
480,ankeny,ia,us,41.7297222,-93.6055556
481,kingsport,tn,us,36.5483333,-82.5619444
482,bainbridge,oh,us,39.2275,-83.2705556
483,connersville,in,us,39.6411111,-85.1411111
484,chester,nj,us,40.7841667,-74.6972222
485,peoria,az,us,33.5805556,-112.2366667
486,tega cay,sc,us,35.0241667,-81.0280556
487,savannah,tn,us,35.2247222,-88.2491667
488,ferndale,ca,us,40.5763889,-124.2627778
489,mount carmel,tn,us,36.5452778,-82.6611111
490,san antonio,nm,us,33.9177778,-106.8652778
491,cumberland,md,us,39.6527778,-78.7627778
492,north miami beach,fl,us,25.9327778,-80.1627778
493,muncie,in,us,40.1933333,-85.3863889
494,suffolk,va,us,36.7280556,-76.5838889
495,milpitas,ca,us,37.4283333,-121.9055556
496,otto,mo,us,38.3708333,-90.5002778
497,denver,co,us,39.7391667,-104.9841667
498,winfield,tx,us,33.1672222,-95.1116667
499,charlotte,nc,us,35.2269444,-80.8433333
500,north port,fl,us,27.0438889,-82.2361111
501,randolph,ma,us,42.1625,-71.0416667
502,salinas,ca,us,36.6777778,-121.6544444
503,san benito,tx,us,26.1322222,-97.6308333
504,tampa,fl,us,27.9472222,-82.4586111
505,stockton,ca,us,37.9577778,-121.2897222
506,huntington,in,us,40.8830556,-85.4975
507,centreville,va,us,38.8402778,-77.4291667
508,fairplay,co,us,39.2247222,-106.0013889
509,martinsville,va,us,36.6913889,-79.8727778
510,monterey park,ca,us,34.0625,-118.1219444
511,cross roads,tx,us,31.0747222,-96.1425
512,wilmington,nc,us,34.2255556,-77.945
513,vaughn,wa,us,47.3444444,-122.7619444
514,grand blanc,mi,us,42.9275,-83.63
515,beatty,nv,us,36.9086111,-116.7583333
516,greenwich,ct,us,41.0263889,-73.6288889
517,waynesburg,pa,us,39.8963889,-80.1794444
518,concord,ca,us,37.9780556,-122.03
519,monument,co,us,39.0916667,-104.8722222
520,san leandro,ca,us,37.725,-122.155
521,columbia,md,us,39.2402778,-76.8397222
522,little falls,mn,us,45.9763889,-94.3622222
523,eagle river,ak,us,61.3213889,-149.5677778
524,san angelo,tx,us,31.4636111,-100.4366667
525,belleview,fl,us,29.055,-82.0625
526,brandon,fl,us,27.9375,-82.2861111
527,winchester,ky,us,37.99,-84.1797222
528,tucson,az,us,32.2216667,-110.9258333
529,kenner,la,us,29.9938889,-90.2416667
530,lake point,ut,us,40.6808333,-112.2622222
531,los angeles,ca,us,34.0522222,-118.2427778
532,dingmans ferry,pa,us,41.22,-74.8716667
533,alstead,nh,us,43.1488889,-72.3611111
534,missoula,mt,us,46.8722222,-113.9930556
535,mansfield,oh,us,40.7583333,-82.5155556
536,jupiter,fl,us,26.9338889,-80.0944444
537,barnegat,nj,us,39.7530556,-74.2233333
538,gulf shores,al,us,30.2458333,-87.7008333
539,elyria,oh,us,41.3683333,-82.1077778
540,philadelphia,pa,us,39.9522222,-75.1641667
541,redmond,wa,us,47.6741667,-122.1202778
542,canby,or,us,45.2630556,-122.6913889
543,festus,mo,us,38.2205556,-90.3958333
544,san pedro,ca,us,33.7358333,-118.2913889
545,bryan,oh,us,41.4747222,-84.5525
546,perryville,mo,us,37.7241667,-89.8611111
547,la crescent,mn,us,43.8280556,-91.3038889
548,north branch,mn,us,45.5113889,-92.98
549,richmond,tx,us,29.5819444,-95.7605556
550,reevesville,sc,us,33.2055556,-80.6480556
551,farmington,nm,us,36.7280556,-108.2180556
552,easley,sc,us,34.8297222,-82.6016667
553,ridley park,pa,us,39.8811111,-75.3241667
554,glendora,ca,us,34.1361111,-117.8644444
555,longview,tx,us,32.5005556,-94.7402778
556,hesperia,mi,us,43.5688889,-86.0394444
557,leesburg,va,us,39.1155556,-77.5638889
558,garrett,in,us,41.3494444,-85.1355556
559,swansboro,nc,us,34.6875,-77.1194444
560,rittman,oh,us,40.9780556,-81.7822222
561,palatine,il,us,42.1102778,-88.0341667
562,harrisburg,mo,us,39.1269,-92.4399
563,aspen,co,us,39.1911111,-106.8169444
564,strongsville,oh,us,41.3144444,-81.8358333
565,pueblo west,co,us,38.35,-104.7222222
566,asheville,nc,us,35.6008333,-82.5541667
567,rome,ny,us,43.2127778,-75.4561111
568,palm beach gardens,fl,us,26.8230556,-80.1388889
569,waldport,or,us,44.4269444,-124.0675
570,columbia,mo,us,38.9516667,-92.3338889
571,olympia,wa,us,47.0380556,-122.8994444
572,brunswick,oh,us,41.2380556,-81.8419444
573,philomath,or,us,44.5402778,-123.3663889
574,bloomington,in,us,39.1652778,-86.5263889
575,dover,nh,us,43.1977778,-70.8741667
576,mosheim,tx,us,31.6261111,-97.5997222
577,ravensdale,wa,us,47.3525,-121.9825
578,south bend,in,us,41.6833333,-86.25
579,las cruces,nm,us,32.3122222,-106.7777778
580,reading,pa,us,40.3355556,-75.9272222
581,lost creek,wv,us,39.1611111,-80.3522222
