sighting_id,datetime,location_id,shape_id,duration_seconds,comments
82,3/12/2000 20:37,84,13,300,saw 3 flickering lights slowly fade out and disapear at seperate times no sound and clear night.
83,11/24/2006 13:30,68,10,600,Large fireball heading towards sun 5 fighters in percuit
84,12/30/2011 19:00,35,10,300,Red-Orange fireball passing over Orlando on Dec 30th 2011
85,10/15/2005 16:00,63,3,40,Saw a metalic football shaped object traveling 200 to 250 mph at  about 1000 to 1500 ft. No soundno windowsno wings no trail .
86,3/10/2012 18:23,22,1,120,RED ORB FOLLOWED BY HELICOPTER
87,1/26/2003 14:40,17,15,8,4 Disk Shaped Objects sighted flying in formation over Van Nuys Ca.
88,2/20/2010 22:00,28,13,10,Green orb-like UFO spotted outside Marshall MN.
89,6/15/2002 02:00,45,9,1800,4 red lights over the Gulf
90,6/25/2013 23:00,73,10,600,Orange sphere type object moving in a zig-zag type pattern over Roslyn Virginia. Lost power when it was hovering.
91,8/8/2003 23:03,10,15,900,3 objects moving south towards Tucson. Were stationary 2 just vanished 3rd remained moving slowly towards the south
92,11/15/1990 22:00,26,13,300,I was driving home from work and saw something that looked like a falling star it took off very fast.
93,7/27/2000 21:37,64,13,2,At 21:37 husband was outside compound and saw one amber light appear going from NE to Easterly direction lasted 5 seconds. Then second
94,6/12/1998 22:45,57,13,3,Two to three second display of  synchronized lights travelling really fast.
95,8/15/2001 22:30,2,12,120,Large red light speeding over Berlin WI.
96,5/12/2004 19:15,11,13,20,ufo at sunset
97,11/13/2007 21:00,70,13,300,I saw three bright red/orange lights in a linear pattern low in the southwest horizon.  At first I thought they might be Orion&#39s belt
98,7/15/2006 01:15,75,9,120,object seen on cape cod ma. beach
99,12/21/2012 20:15,54,10,2100,Multiple sightings of bright round orange objects within 30 minutes (at different locations).
100,1/14/2008 19:00,43,10,1800,Bright object in sky disappears and reappears. Seems to also emit smaller objects.
