case_id,datetime,location_id,shape_id,classification,radar_confirmed,credibility_score,threat_level,investigation_status,assigned_agent,radiation_detected,electromagnetic_anomaly,altitude_est_meters,speed_est_kmh,witness_count,military_witness,photos_collected,samples_collected,notes
NASA-2014-0422,4/22/2014 20:30,165,16,Class-II Aerial Phenomenon,True,8.4,Medium,Closed,Agent Dixon,False,True,1200,0,1,False,2,0,Large disc with multiple lights hovering over river. Extended observation period with binoculars.
NASA-1981-0615,6/15/1981 22:00,54,7,Class-III Close Encounter,True,9.9,Critical,Classified,Agent Thornton,True,True,200,35,3,True,12,8,Cylindrical craft crash reported. Recovery operation conducted. Materials classified Top Secret. Military witnesses.
NASA-1996-0615,6/15/1996 13:30,165,16,Class-I Unidentified,False,5.2,Low,Closed,Agent Brooks,False,False,Unknown,Unknown,1,False,0,0,Witness claims spacecraft technology. Assessment suggests misidentification of conventional aircraft.
NASA-2002-0625,6/25/2002 23:30,54,6,Class-I Unidentified,False,6.7,Low,Closed,Agent Hayes,False,False,Unknown,1200,1,False,0,0,Fast-moving light source. Characteristics consistent with satellite or high-altitude aircraft.
NASA-1972-0818,8/18/1972 01:30,165,11,Class-II Aerial Phenomenon,True,8.6,Medium,Closed,Agent Morrison,False,True,80,55,2,False,0,1,Low-altitude triangle with silent propulsion. Vegetation samples show elevated radiation levels.
NASA-1999-0930,9/30/1999 21:00,54,11,Class-II Aerial Phenomenon,True,9.2,High,Closed,Agent Powell,False,True,250,75,15,True,4,0,Massive seven-light formation. Audible low-frequency sound recorded. Military installation nearby.
NASA-2008-1021A,10/21/2008 20:30,127,13,Class-II Aerial Phenomenon,True,7.9,Medium,Closed,Agent Fisher,False,True,4000,Unknown,8,False,3,0,Multiple light sources changing configuration. Part of series of sightings in Abilene area.
NASA-2008-1023A,10/23/2008 20:30,127,19,Class-II Aerial Phenomenon,True,8.2,Medium,Closed,Agent Fisher,False,True,3800,Unknown,2,False,2,0,Linear formation of orange lights. Related to NASA-2008-1021A. Possible experimental military technology.
NASA-2008-1027A,10/27/2008 23:00,127,9,Class-I Unidentified,False,7.3,Low,Closed,Agent Fisher,False,False,Unknown,Unknown,1,True,0,0,Witness has military flight line experience. Single bright non-blinking light. No radar confirmation.
NASA-2008-1028A,10/28/2008 20:00,127,9,Class-II Aerial Phenomenon,True,8.5,Medium,Closed,Agent Fisher,False,True,5000,0,1,False,1,0,Two large stationary lights at high altitude. Maintained position for extended period.
NASA-2008-1029A,10/29/2008 19:45,127,9,Class-II Aerial Phenomenon,True,8.7,Medium,Closed,Agent Fisher,False,True,4500,Unknown,3,False,4,0,Continuation of Abilene sightings. Pattern suggests coordinated activity or atmospheric phenomenon.
NASA-2008-1030A,10/30/2008 23:05,127,9,Class-II Aerial Phenomenon,True,8.4,Medium,Closed,Agent Fisher,False,True,4200,Unknown,2,False,1,0,Final incident in October 2008 Abilene cluster. Investigation concluded likely military exercises.
NASA-2010-1007,10/7/2010 22:35,127,9,Class-I Unidentified,False,6.8,Low,Closed,Agent Quinn,False,False,Unknown,Unknown,2,False,0,0,Intermittent red lights. Insufficient data for classification.
NASA-2006-0120,1/20/2006 21:30,127,9,Class-I Unidentified,False,7.1,Low,Closed,Agent Lawson,False,False,Unknown,Unknown,2,False,0,0,Four orange luminous objects. Brief observation period.
NASA-2012-1215,12/15/2012 21:40,127,9,Class-II Aerial Phenomenon,True,8.1,Medium,Closed,Agent Pierce,False,True,8000,Unknown,1,False,3,0,Light beams projecting from cloud cover. Unusual atmospheric electrical activity detected.
NASA-2004-1223,12/23/2004 16:00,127,1,Class-I Unidentified,False,5.9,Low,Closed,Agent Weber,False,False,Unknown,0,1,False,0,0,Hovering metallic object. Brief sighting with sudden disappearance.
NASA-2009-0131,1/31/2009 19:30,127,17,Class-I Unidentified,False,4.8,Low,Closed,Agent Stone,False,False,Unknown,Unknown,1,False,0,0,Insufficient detail for classification. Possible aircraft lights.
NASA-2010-0214,2/14/2010 00:00,127,13,Class-II Aerial Phenomenon,True,9.4,High,Closed,Agent Cruz,False,True,2000,Unknown,1,False,18,0,Night vision photography captures craft similar to Stephenville TX incidents. Significant evidence.
NASA-2009-0215,2/15/2009 24:00,127,14,Class-II Aerial Phenomenon,True,7.7,Medium,Closed,Agent Sanders,False,True,6000,Unknown,1,False,4,0,Large craft obscured by cloud cover. Thermal imaging shows anomalous heat signature.
NASA-2012-0323,3/23/2012 22:00,127,11,Class-II Aerial Phenomenon,True,8.3,Medium,Closed,Agent Bennett,False,True,1500,420,1,False,2,0,Classic triangle configuration. Rapid acceleration observed. Radar confirmed high-speed departure.
NASA-2010-0331,3/31/2010 20:30,127,9,Class-I Unidentified,False,7.4,Low,Closed,Agent Griffin,False,True,Unknown,Unknown,3,False,1,0,Bright orange lights in formation. EMF readings elevated but no radar contact.
NASA-2007-0427,4/27/2007 24:00,127,17,Class-II Aerial Phenomenon,True,8.9,High,Active,Agent Blackwood,False,True,3000,0,4,True,0,0,Brilliant object over Dyess AFB. Military witnesses. Enhanced security classification. Investigation active.
NASA-2012-0817,8/17/2012 21:30,127,1,Class-II Aerial Phenomenon,True,9.0,High,Closed,Agent Fletcher,False,True,7000,1850,2,False,0,0,Formation of blue-white lights at extremely high speed. Multiple radar stations confirm supersonic velocity.
NASA-2012-0818,8/18/2012 23:00,127,17,Class-II Aerial Phenomenon,True,9.1,High,Closed,Agent Fletcher,False,True,6500,1600,1,False,2,0,Orange and blue objects in synchronized flight. Follow-up to NASA-2012-0817. Unusual metallic particles found at observation site.
NASA-2009-0821,8/21/2009 03:23,127,11,Class-I Unidentified,False,6.6,Low,Closed,Agent Ramirez,False,False,Unknown,Unknown,1,False,0,0,Brief flyby of unidentified triangular craft. Insufficient evidence for higher classification.
NASA-1991-0901,9/1/1991 01:00,127,11,Class-III Close Encounter,True,9.7,Critical,Closed,Agent Thornton,True,True,25,0,1,False,3,2,Massive triangular object at extremely low altitude. Witness experienced time distortion. Radiation detected. Medical monitoring conducted.
NASA-2003-0925,9/25/2003 00:00,152,13,Class-I Unidentified,False,6.3,Low,Closed,Agent Morgan,False,False,Unknown,Unknown,1,False,0,0,Color-changing formation. Characteristics suggest unconventional propulsion but limited data.
NASA-1997-1015,10/15/1997 18:40,161,9,Class-II Aerial Phenomenon,True,8.8,Medium,Closed,Agent Sutton,False,True,3200,Unknown,24,False,8,0,Mass sighting event covered by local media. Multiple independent witnesses. Radar confirmation from two stations.
NASA-2003-1022,10/22/2003 21:00,161,4,Class-II Aerial Phenomenon,True,7.8,Medium,Closed,Agent Lloyd,False,False,18000,Unknown,18,False,6,0,Large fireball reported by numerous witnesses. Meteor likely but trajectory analysis shows anomalies.
NASA-2008-1102,11/2/2008 02:15,31,4,Class-I Unidentified,False,5.7,Low,Closed,Agent Ross,False,False,Unknown,Unknown,1,False,0,0,Low-altitude luminous object. Possible meteor or flare.
NASA-2007-0503A,5/3/2007 21:30,31,11,Class-II Aerial Phenomenon,True,9.2,High,Closed,Agent Chambers,False,True,180,45,6,False,9,0,Multiple witnesses report slow-moving triangle over residential area. Excellent photographic evidence. Craft showed structured lighting pattern.
NASA-1991-0715,7/15/1991 23:00,124,15,Class-II Aerial Phenomenon,False,7.5,Medium,Closed,Agent Patel,False,True,100,25,2,False,0,0,Egg-shaped craft at very low altitude. Witnesses reported feeling of being observed. EMF spikes recorded.
